ENGINE_SIZE,CYLINDERS,FUEL_TYPE,CITY,HWY,COMB,COMB_mpg,CO2_EMISSIONS 
5,8,X,15.7,11.5,13.9,20,320
5,8,E,20.8,15.5,18.5,15,296
3.7,6,X,15,11.5,13.4,21,308
3.7,6,E,20.2,15.5,18.1,16,290
3.7,6,X,15,11.5,13.4,21,308
3.7,6,E,20.2,15.5,18.1,16,290
5,8,X,16.7,12.3,14.7,19,338
5,8,E,22.2,16.5,19.6,14,314
5,8,X,16.7,12.3,14.7,19,338
5,8,E,22.3,16.5,19.7,14,315
6.2,8,X,21.1,16.6,19,15,437
1.6,4,X,8.1,6.2,7.2,39,166
1.6,4,X,8.3,6.4,7.4,38,170
1.6,4,X,8,5.9,7.1,40,163
3.5,6,X,14.2,9.9,12.3,23,283
3.5,6,X,15,10.6,13,22,299
3.5,6,X,14.7,10.9,13,22,299
2,4,X,9.5,7,8.3,34,191
2,4,X,9.3,6.7,8.1,35,186
2.5,4,X,10.3,7.2,8.9,32,205
2.5,4,X,10.8,8.2,9.6,29,221
3.5,6,X,14.2,9.8,12.2,23,281
3,6,X,12,8.3,10.4,27,239
3,6,E,16.6,11.3,14.2,20,227
3,6,X,13.4,9.3,11.5,25,265
3,6,E,18.2,12.6,15.7,18,251
2.5,4,X,5.7,6.5,6,47,138
2.5,4,X,10.9,7.4,9.3,30,214
3.7,6,X,12.1,7.6,10.1,28,232
3.7,6,X,12.7,8.2,10.7,26,246
5,8,X,13.3,9.4,11.5,25,265
5,8,X,13.7,9.1,11.7,24,269
5.4,8,Z,16.2,10.4,13.6,21,313
3.7,6,X,13.4,9.3,11.5,25,265
2.3,4,X,13.2,10.2,11.8,24,271
2.3,4,X,11.4,9.1,10.4,27,239
4,6,X,15.5,12,13.9,20,320
4,6,X,15.1,11.5,13.5,21,311
4,6,X,16.3,13.1,14.9,19,343
4,6,X,15.7,12.5,14.3,20,329
3.5,6,X,13.1,8.6,11.1,25,255
3.5,6,X,13.2,8.8,11.2,25,258
